JJtimestamp,epoch,batch,loss,accuracy,learning_rate
2025-11-27T21:41:33.300123,0,1,7.108224868774414,0.0,0.001
2025-11-27T21:41:38.445507,0,2,6.495501518249512,3.125,0.001
2025-11-27T21:41:42.341919,0,3,5.02228307723999,3.125,0.001
2025-11-27T21:41:53.868381,0,4,4.765267372131348,3.90625,0.001
2025-11-27T21:42:16.910921,0,5,4.777909278869629,4.375,0.001
2025-11-27T21:42:25.850083,0,6,4.463654518127441,3.6458333333333335,0.001
2025-11-27T21:42:32.837586,0,7,4.385480880737305,3.5714285714285716,0.001
2025-11-27T21:42:39.063138,0,8,3.2511849403381348,4.296875,0.001
2025-11-27T21:42:51.148777,0,9,4.52468204498291,4.166666666666667,0.001
2025-11-27T21:42:58.247724,0,10,4.514430046081543,4.0625,0.001
2025-11-27T21:43:05.058556,0,11,4.044961452484131,3.977272727272727,0.001
2025-11-27T21:43:11.482989,0,12,4.374602317810059,3.90625,0.001
2025-11-27T21:43:19.273015,0,13,3.4654765129089355,4.086538461538462,0.001
2025-11-27T21:43:27.776707,0,14,4.3572492599487305,3.794642857142857,0.001
2025-11-27T21:43:33.446982,0,15,3.700692653656006,3.75,0.001
2025-11-27T21:43:39.389567,0,16,3.097676992416382,4.4921875,0.001
2025-11-27T21:43:46.952057,0,17,3.9005212783813477,4.779411764705882,0.001
2025-11-27T21:43:52.356688,0,18,3.804143190383911,4.861111111111111,0.001
2025-11-27T21:44:00.279987,0,19,3.33286714553833,4.934210526315789,0.001
2025-11-27T21:44:07.455406,0,20,3.2280125617980957,5.0,0.001
2025-11-27T21:44:13.020239,0,21,3.322538137435913,5.208333333333333,0.001
2025-11-27T21:44:19.888426,0,22,4.015569686889648,5.113636363636363,0.001
2025-11-27T21:44:24.573399,0,23,3.5356740951538086,5.0271739130434785,0.001
2025-11-27T21:44:29.805920,0,24,4.470684051513672,5.078125,0.001
2025-11-27T21:44:38.901982,0,25,3.676848888397217,5.0,0.001
2025-11-27T21:44:44.014379,0,26,4.282681941986084,5.649038461538462,0.001
2025-11-27T21:44:49.717438,0,27,7.576715469360352,5.787037037037037,0.001
2025-11-27T21:44:54.395517,0,28,7.780019760131836,5.803571428571429,0.001
2025-11-27T21:44:58.190463,0,29,5.688480377197266,6.0344827586206895,0.001
2025-11-27T21:45:02.659057,0,30,7.892158508300781,5.9375,0.001
2025-11-27T21:45:10.118099,0,31,8.428840637207031,5.846774193548387,0.001
2025-11-27T21:45:15.682016,0,32,6.006854057312012,5.859375,0.001
2025-11-27T21:45:19.346148,0,33,6.241122245788574,5.965909090909091,0.001
2025-11-27T21:45:24.326115,0,34,6.736945152282715,5.882352941176471,0.001
2025-11-27T21:45:30.378511,0,35,5.395135402679443,6.25,0.001
2025-11-27T21:45:35.180306,0,36,6.429415702819824,6.25,0.001
