timestamp,cpu_percent,memory_percent,memory_used_gb,net_sent_mb,net_recv_mb
2025-11-27T21:03:20.000387,0.0,40.0,4.1324920654296875,0.0,0.0
2025-11-27T21:03:21.001516,12.9,44.7,4.896270751953125,0.01171875,0.0126953125
2025-11-27T21:03:22.007139,1.8,44.2,4.8101806640625,0.013671875,0.7392578125
2025-11-27T21:03:23.011110,2.0,43.8,4.7369842529296875,0.0166015625,0.6455078125
2025-11-27T21:03:24.012849,3.3,44.1,4.781829833984375,0.0078125,0.1630859375
2025-11-27T21:03:25.018485,3.4,44.2,4.8315582275390625,0.01953125,0.146484375
2025-11-27T21:03:26.020090,1.7,43.8,4.76409912109375,0.01171875,0.1240234375
2025-11-27T21:03:27.022041,2.4,44.1,4.8173675537109375,0.0078125,0.125
2025-11-27T21:03:28.023966,1.4,44.1,4.8178558349609375,0.0263671875,0.294921875
2025-11-27T21:03:29.025991,3.7,43.6,4.745330810546875,0.0078125,0.150390625
2025-11-27T21:03:30.030779,4.4,44.1,4.8329010009765625,0.009765625,0.107421875
2025-11-27T21:03:31.034604,1.4,44.1,4.8353271484375,0.0078125,0.142578125
2025-11-27T21:03:32.039009,4.1,43.7,4.75897216796875,0.005859375,0.0947265625
2025-11-27T21:03:33.045636,1.9,44.0,4.814544677734375,0.0048828125,0.1435546875
2025-11-27T21:03:34.051995,1.2,44.0,4.8144073486328125,0.0078125,0.1396484375
2025-11-27T21:03:35.057722,3.9,44.1,4.8258514404296875,0.0078125,0.1865234375
2025-11-27T21:03:36.064113,2.0,44.1,4.8306427001953125,0.009765625,0.1357421875
2025-11-27T21:03:37.070479,1.4,43.9,4.7988128662109375,0.005859375,0.115234375
2025-11-27T21:03:38.076795,1.4,43.7,4.75946044921875,0.0078125,0.1689453125
2025-11-27T21:03:39.082851,2.0,44.1,4.8314666748046875,0.0078125,0.1474609375
2025-11-27T21:03:40.089202,3.5,44.2,4.8439178466796875,0.0068359375,0.154296875
2025-11-27T21:03:41.095068,1.8,43.9,4.806182861328125,0.0087890625,0.16015625
2025-11-27T21:03:42.099770,5.2,44.1,4.8353424072265625,0.0078125,0.1328125
2025-11-27T21:03:43.106426,3.9,44.0,4.832763671875,0.005859375,0.1572265625
2025-11-27T21:03:44.112702,1.5,43.8,4.7910919189453125,0.0126953125,0.4169921875
